Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH2867,SCH0491,English,Basic,8,23
TCH2868,SCH0380,Math,Basic,8,23
TCH2869,SCH0564,English,Advanced,12,14
TCH2870,SCH0228,Social Studies,Basic,14,28
TCH2871,SCH0676,English,Advanced,2,29
TCH2872,SCH0408,Social Studies,Basic,14,28
TCH2873,SCH0627,English,Basic,13,23
TCH2874,SCH0995,English,Basic,12,28
TCH2875,SCH0749,Science,Advanced,10,21
TCH2876,SCH0760,Math,Basic,16,28
TCH2877,SCH0310,Science,Basic,12,28
TCH2878,SCH0583,Social Studies,Advanced,1,24
TCH2879,SCH0948,English,Basic,5,25
TCH2880,SCH0238,Nepali,Basic,10,26
TCH2881,SCH0074,Nepali,Advanced,1,10
TCH2882,SCH0329,English,Advanced,8,24
TCH2883,SCH0914,Math,Basic,13,24
TCH2884,SCH0964,English,Basic,17,26
TCH2885,SCH0272,Social Studies,Advanced,16,28
TCH2886,SCH0026,Science,Advanced,7,14
TCH2887,SCH0720,English,Advanced,24,12
TCH2888,SCH0581,Social Studies,Advanced,6,29
TCH2889,SCH0623,Social Studies,Basic,1,26
TCH2890,SCH0632,English,Basic,11,24
TCH2891,SCH0027,Nepali,Basic,19,21
TCH2892,SCH0936,Nepali,Advanced,18,23
TCH2893,SCH0573,Science,Advanced,9,26
TCH2894,SCH0126,Nepali,Basic,14,24
TCH2895,SCH0703,Social Studies,Advanced,25,14
TCH2896,SCH0976,Nepali,Basic,8,26
TCH2897,SCH0578,Science,Advanced,16,28
TCH2898,SCH0382,Nepali,Basic,8,25
TCH2899,SCH0577,English,Advanced,25,10
TCH2900,SCH0777,Nepali,Basic,11,26
TCH2901,SCH0336,Social Studies,Basic,9,25
TCH2902,SCH0871,Science,Advanced,18,13
TCH2903,SCH0191,Nepali,Basic,1,23
TCH2904,SCH0409,Science,Basic,12,26
TCH2905,SCH0835,Social Studies,Advanced,2,14
TCH2906,SCH0481,Social Studies,Advanced,9,10
TCH2907,SCH0712,Math,Advanced,10,12
TCH2908,SCH0950,Math,Advanced,6,14
TCH2909,SCH0434,Social Studies,Basic,2,28
TCH2910,SCH0887,Science,Basic,7,27
TCH2911,SCH0667,Social Studies,Advanced,11,27
TCH2912,SCH0106,Math,Basic,13,22
TCH2913,SCH0517,Science,Advanced,5,22
TCH2914,SCH0161,Science,Advanced,17,22
TCH2915,SCH0802,Science,Advanced,2,10
TCH2916,SCH0234,Social Studies,Basic,17,27
TCH2917,SCH0081,English,Advanced,15,26
TCH2918,SCH0676,Math,Advanced,19,22
TCH2919,SCH0057,Nepali,Basic,16,27
TCH2920,SCH0393,Nepali,Advanced,13,10
TCH2921,SCH0771,Social Studies,Basic,6,21
TCH2922,SCH0806,Science,Basic,18,27
TCH2923,SCH0011,English,Advanced,15,11
TCH2924,SCH0125,Math,Advanced,3,11
TCH2925,SCH0058,Social Studies,Basic,10,27
TCH2926,SCH0416,Nepali,Advanced,3,13
TCH2927,SCH0508,Social Studies,Basic,6,25
TCH2928,SCH0951,Nepali,Advanced,6,11
TCH2929,SCH0468,Social Studies,Advanced,14,14
TCH2930,SCH0905,English,Advanced,19,22
TCH2931,SCH0341,English,Basic,5,28
TCH2932,SCH0108,Social Studies,Advanced,8,12
TCH2933,SCH0080,Science,Basic,3,28
TCH2934,SCH0383,Math,Basic,6,28
TCH2935,SCH0556,Nepali,Advanced,21,13
TCH2936,SCH0776,Science,Advanced,14,20
TCH2937,SCH0203,Social Studies,Basic,16,26
TCH2938,SCH0477,English,Advanced,19,27
TCH2939,SCH0840,Nepali,Basic,7,28
TCH2940,SCH0334,Math,Basic,15,29
TCH2941,SCH0496,Math,Advanced,6,14
TCH2942,SCH0601,Math,Advanced,12,10
TCH2943,SCH0730,English,Advanced,23,12
TCH2944,SCH0078,English,Advanced,4,11
TCH2945,SCH0043,Social Studies,Advanced,12,13
TCH2946,SCH0830,Nepali,Advanced,7,23
TCH2947,SCH0983,English,Advanced,11,25
TCH2948,SCH0031,Nepali,Basic,11,25
TCH2949,SCH0405,Social Studies,Basic,5,24
TCH2950,SCH0021,Social Studies,Advanced,6,24
TCH2951,SCH0767,Social Studies,Basic,11,27
TCH2952,SCH0224,Math,Advanced,17,10
TCH2953,SCH0932,Science,Basic,2,28
TCH2954,SCH0613,Social Studies,Advanced,13,22
TCH2955,SCH0043,English,Advanced,5,14
TCH2956,SCH0694,Math,Basic,7,24
TCH2957,SCH0075,Science,Advanced,10,26
TCH2958,SCH0158,Nepali,Advanced,15,10
TCH2959,SCH0118,Math,Advanced,6,10
TCH2960,SCH0952,Nepali,Advanced,7,27
TCH2961,SCH0433,Nepali,Advanced,3,14
TCH2962,SCH0011,English,Advanced,18,10
TCH2963,SCH0230,Social Studies,Basic,14,28
TCH2964,SCH0537,Social Studies,Advanced,14,26
TCH2965,SCH0053,Math,Basic,11,21
TCH2966,SCH0623,Science,Basic,16,20
TCH2967,SCH0371,Math,Advanced,8,13
TCH2968,SCH0103,Science,Basic,4,23
TCH2969,SCH0303,Nepali,Advanced,16,12
TCH2970,SCH0847,Math,Advanced,19,12
TCH2971,SCH0194,Math,Advanced,6,21
TCH2972,SCH0432,English,Basic,17,22
TCH2973,SCH0537,English,Basic,7,27
TCH2974,SCH0482,Science,Advanced,9,25
TCH2975,SCH0891,English,Basic,7,22
TCH2976,SCH0924,Social Studies,Advanced,7,20
TCH2977,SCH0813,Science,Basic,14,24
TCH2978,SCH0298,Science,Advanced,19,24
TCH2979,SCH0364,Math,Basic,14,27
TCH2980,SCH0103,Math,Advanced,10,22
TCH2981,SCH0461,Social Studies,Basic,16,20
TCH2982,SCH0479,Math,Advanced,14,26
TCH2983,SCH0579,Science,Basic,8,23
TCH2984,SCH0519,Social Studies,Advanced,7,29
TCH2985,SCH0249,Science,Advanced,19,11
TCH2986,SCH0176,English,Basic,6,20
TCH2987,SCH0738,Science,Advanced,4,25
TCH2988,SCH0462,Math,Basic,3,21
TCH2989,SCH0408,Science,Basic,6,29
TCH2990,SCH0406,Math,Advanced,15,10
TCH2991,SCH0495,Science,Advanced,8,25
TCH2992,SCH0532,Nepali,Basic,6,25
TCH2993,SCH0457,Science,Basic,12,28
TCH2994,SCH0934,Nepali,Basic,7,23
TCH2995,SCH0185,Social Studies,Basic,4,24
TCH2996,SCH0159,Math,Advanced,3,11
TCH2997,SCH0608,Nepali,Advanced,20,10
TCH2998,SCH0056,English,Basic,1,29
TCH2999,SCH0975,Social Studies,Basic,2,24
TCH3000,SCH0941,Social Studies,Advanced,23,10
TCH3001,SCH0714,Math,Advanced,16,10
TCH3002,SCH0339,Social Studies,Basic,8,20
TCH3003,SCH0572,English,Advanced,9,10
TCH3004,SCH0061,English,Advanced,24,13
TCH3005,SCH0793,Social Studies,Advanced,9,10
TCH3006,SCH0941,Math,Advanced,6,12
TCH3007,SCH0903,Math,Advanced,16,20
TCH3008,SCH0782,Nepali,Advanced,2,13
TCH3009,SCH0768,Science,Basic,14,26
TCH3010,SCH0857,Nepali,Advanced,9,29
TCH3011,SCH0188,Nepali,Advanced,2,12
TCH3012,SCH0857,English,Basic,12,29
TCH3013,SCH0477,Nepali,Basic,14,24
TCH3014,SCH0890,Science,Advanced,13,10
TCH3015,SCH0095,Math,Advanced,29,13
TCH3016,SCH0544,Math,Basic,3,20
TCH3017,SCH0604,Nepali,Basic,5,20
TCH3018,SCH0220,Social Studies,Advanced,2,13
TCH3019,SCH0657,Math,Basic,10,29
TCH3020,SCH0982,English,Basic,8,22
TCH3021,SCH0494,Social Studies,Advanced,18,29
TCH3022,SCH0099,Social Studies,Advanced,4,28
TCH3023,SCH0781,Math,Advanced,25,11
TCH3024,SCH0418,Social Studies,Basic,3,27
TCH3025,SCH0119,Science,Advanced,26,12
TCH3026,SCH0398,English,Basic,10,29
TCH3027,SCH0812,Science,Advanced,8,25
TCH3028,SCH0596,Nepali,Advanced,12,20
TCH3029,SCH0223,Science,Advanced,17,12
TCH3030,SCH0870,Science,Advanced,27,12
TCH3031,SCH0980,Social Studies,Basic,7,25
TCH3032,SCH0444,Nepali,Advanced,27,12
TCH3033,SCH0519,Math,Basic,1,21
TCH3034,SCH0741,Science,Basic,11,21
TCH3035,SCH0993,English,Basic,2,29
TCH3036,SCH0833,Math,Basic,4,29
TCH3037,SCH0606,Math,Basic,3,25
TCH3038,SCH0996,Social Studies,Advanced,15,12
TCH3039,SCH0840,English,Basic,17,29
TCH3040,SCH0712,Nepali,Advanced,27,12
TCH3041,SCH0654,Social Studies,Advanced,12,12
TCH3042,SCH0996,Math,Advanced,2,12
TCH3043,SCH0800,Nepali,Basic,7,24
TCH3044,SCH0618,English,Advanced,24,14
TCH3045,SCH0510,Math,Advanced,9,22
TCH3046,SCH0960,English,Advanced,13,21
TCH3047,SCH0382,Social Studies,Advanced,18,27
TCH3048,SCH0632,Science,Basic,19,25
TCH3049,SCH0467,Nepali,Advanced,11,14
TCH3050,SCH0829,Math,Basic,7,27
TCH3051,SCH0857,Social Studies,Basic,2,24
TCH3052,SCH0178,Social Studies,Basic,18,28
TCH3053,SCH0746,Social Studies,Basic,7,22
TCH3054,SCH0598,Science,Basic,13,26
TCH3055,SCH0748,English,Basic,16,29
TCH3056,SCH0352,Social Studies,Advanced,16,27
TCH3057,SCH0518,Social Studies,Basic,8,25
TCH3058,SCH0254,Nepali,Basic,15,26
TCH3059,SCH0554,English,Advanced,24,14
TCH3060,SCH0679,Social Studies,Advanced,18,26
TCH3061,SCH0992,Science,Basic,1,27
TCH3062,SCH0963,English,Basic,16,22
TCH3063,SCH0852,Math,Basic,7,28
TCH3064,SCH0687,English,Advanced,2,20
TCH3065,SCH0615,Social Studies,Advanced,18,28
TCH3066,SCH0297,Math,Advanced,16,24
TCH3067,SCH0670,English,Basic,17,21
TCH3068,SCH0972,Nepali,Advanced,8,13
TCH3069,SCH0493,Social Studies,Advanced,19,29
TCH3070,SCH0690,English,Advanced,13,28
TCH3071,SCH0980,Social Studies,Advanced,4,29
TCH3072,SCH0526,Math,Advanced,29,13
TCH3073,SCH0575,English,Basic,19,22
TCH3074,SCH0765,Math,Advanced,21,12
TCH3075,SCH0532,Math,Advanced,12,28
TCH3076,SCH0472,Math,Basic,5,27
TCH3077,SCH0452,English,Advanced,27,11
TCH3078,SCH0974,Nepali,Advanced,13,10
TCH3079,SCH0531,Math,Basic,19,26
TCH3080,SCH0079,Nepali,Basic,12,25
TCH3081,SCH0110,English,Advanced,13,13
TCH3082,SCH0877,Social Studies,Basic,14,20
TCH3083,SCH0254,Science,Basic,8,28
TCH3084,SCH0881,Social Studies,Advanced,8,28
TCH3085,SCH0742,Math,Advanced,18,26
TCH3086,SCH0250,Math,Basic,1,21
TCH3087,SCH0078,Math,Advanced,27,12
TCH3088,SCH0094,Math,Advanced,5,23
TCH3089,SCH0330,Science,Advanced,18,12
TCH3090,SCH0008,Social Studies,Advanced,5,23
TCH3091,SCH0517,Science,Basic,1,27
TCH3092,SCH0421,Math,Basic,9,21
TCH3093,SCH0945,English,Advanced,16,11
TCH3094,SCH0917,Science,Advanced,23,10
TCH3095,SCH0080,Nepali,Basic,15,25
TCH3096,SCH0777,Math,Advanced,15,20
TCH3097,SCH0291,English,Basic,14,24
TCH3098,SCH0956,Social Studies,Basic,15,20
TCH3099,SCH0443,Math,Basic,2,27
TCH3100,SCH0665,Social Studies,Basic,15,23
TCH3101,SCH0068,Science,Advanced,12,13
TCH3102,SCH0250,English,Advanced,11,26
TCH3103,SCH0481,English,Advanced,20,14
TCH3104,SCH0139,Math,Basic,7,21
TCH3105,SCH0334,Social Studies,Basic,11,20
TCH3106,SCH0752,English,Advanced,27,10
TCH3107,SCH0355,Science,Basic,6,21
TCH3108,SCH0005,Nepali,Advanced,2,10
TCH3109,SCH0276,Social Studies,Advanced,15,14
TCH3110,SCH0223,English,Advanced,14,14
TCH3111,SCH0826,Nepali,Advanced,17,26
TCH3112,SCH0410,Math,Advanced,3,26
TCH3113,SCH0436,English,Advanced,1,21
TCH3114,SCH0794,Math,Basic,15,27
TCH3115,SCH0382,Nepali,Basic,7,25
TCH3116,SCH0271,Social Studies,Basic,3,26
TCH3117,SCH0830,English,Basic,8,23
TCH3118,SCH0599,Science,Advanced,24,10
TCH3119,SCH0077,Science,Basic,9,23
TCH3120,SCH0419,English,Basic,12,29
TCH3121,SCH0817,Nepali,Advanced,23,10
TCH3122,SCH0316,English,Basic,7,21
TCH3123,SCH0143,Science,Basic,7,29
TCH3124,SCH0268,Nepali,Basic,5,28
TCH3125,SCH0236,Social Studies,Advanced,4,26
TCH3126,SCH0947,Social Studies,Advanced,26,13
TCH3127,SCH0347,Nepali,Advanced,11,10
TCH3128,SCH0510,Math,Basic,8,26
TCH3129,SCH0661,English,Advanced,24,12
TCH3130,SCH0999,Nepali,Advanced,2,25
TCH3131,SCH0540,English,Basic,18,23
TCH3132,SCH0867,Science,Advanced,11,23
TCH3133,SCH0336,Nepali,Basic,15,23
TCH3134,SCH0272,Social Studies,Basic,6,29
TCH3135,SCH0127,Science,Advanced,12,10
TCH3136,SCH0320,English,Advanced,22,14
TCH3137,SCH0097,Nepali,Basic,13,26
TCH3138,SCH0471,Social Studies,Basic,12,21
TCH3139,SCH0135,Social Studies,Basic,12,29
TCH3140,SCH0008,Science,Basic,3,24
TCH3141,SCH0603,Math,Basic,4,22
TCH3142,SCH0773,Math,Basic,9,28
TCH3143,SCH0193,Social Studies,Basic,9,23
TCH3144,SCH0668,Math,Advanced,5,14
TCH3145,SCH0021,Science,Basic,1,22
TCH3146,SCH0787,Social Studies,Basic,9,28
TCH3147,SCH0549,Science,Basic,17,22
TCH3148,SCH0175,Nepali,Advanced,28,13
TCH3149,SCH0910,Science,Basic,17,21
TCH3150,SCH0517,Nepali,Basic,7,22
TCH3151,SCH0655,Nepali,Basic,11,20
TCH3152,SCH0262,Social Studies,Advanced,27,14
TCH3153,SCH0821,Nepali,Advanced,3,29
TCH3154,SCH0903,English,Basic,5,29
TCH3155,SCH0677,English,Advanced,11,28
TCH3156,SCH0672,Nepali,Basic,1,23
TCH3157,SCH0187,Nepali,Basic,17,29
TCH3158,SCH0497,Science,Basic,15,29
TCH3159,SCH0311,Social Studies,Basic,7,28
TCH3160,SCH0456,Nepali,Advanced,16,14
TCH3161,SCH0095,Science,Advanced,16,10
TCH3162,SCH0262,Math,Advanced,3,11
TCH3163,SCH0661,English,Advanced,4,11
TCH3164,SCH0811,Nepali,Advanced,4,28
TCH3165,SCH0182,Nepali,Advanced,18,25
TCH3166,SCH0042,Math,Basic,1,22
TCH3167,SCH0246,Math,Basic,13,28
TCH3168,SCH0866,Science,Basic,17,28
TCH3169,SCH0810,Social Studies,Advanced,15,24
TCH3170,SCH0948,Math,Basic,18,28
TCH3171,SCH0749,Nepali,Basic,17,25
TCH3172,SCH0470,Science,Basic,17,26
TCH3173,SCH0507,English,Advanced,4,28
TCH3174,SCH0251,English,Advanced,15,24
TCH3175,SCH0964,English,Advanced,5,23
TCH3176,SCH0026,Social Studies,Advanced,14,13
TCH3177,SCH0566,Nepali,Basic,15,27
TCH3178,SCH0364,Science,Basic,1,27
TCH3179,SCH0832,Nepali,Advanced,7,21
TCH3180,SCH0847,English,Advanced,13,10
TCH3181,SCH0185,English,Advanced,7,22
TCH3182,SCH0431,Science,Basic,12,28
TCH3183,SCH0826,Social Studies,Advanced,10,27
TCH3184,SCH0807,Science,Basic,4,27
TCH3185,SCH0170,Social Studies,Basic,6,21
TCH3186,SCH0479,Science,Basic,18,29
TCH3187,SCH0862,Social Studies,Basic,13,20
TCH3188,SCH0492,English,Basic,12,21
TCH3189,SCH0478,Social Studies,Basic,5,25
TCH3190,SCH0537,Nepali,Basic,17,21
TCH3191,SCH0177,Social Studies,Advanced,1,10
TCH3192,SCH0692,Social Studies,Advanced,13,28
TCH3193,SCH0031,English,Advanced,4,28
TCH3194,SCH0365,Nepali,Basic,1,22
TCH3195,SCH0325,Social Studies,Advanced,11,10
TCH3196,SCH0059,Math,Advanced,5,13
TCH3197,SCH0607,Social Studies,Basic,13,27
TCH3198,SCH0726,Social Studies,Advanced,10,11
TCH3199,SCH0301,English,Basic,8,27
TCH3200,SCH0009,English,Basic,16,20
TCH3201,SCH0941,Math,Advanced,21,13
TCH3202,SCH0733,Science,Advanced,12,10
TCH3203,SCH0738,Nepali,Basic,6,22
TCH3204,SCH0138,Social Studies,Basic,10,23
TCH3205,SCH0809,Nepali,Advanced,29,13
TCH3206,SCH0071,Nepali,Basic,10,25
TCH3207,SCH0954,Nepali,Advanced,9,11
TCH3208,SCH0961,Social Studies,Basic,15,21
TCH3209,SCH0179,Math,Basic,19,21
TCH3210,SCH0659,Science,Basic,1,26
TCH3211,SCH0659,Math,Advanced,19,21
TCH3212,SCH0894,Social Studies,Basic,16,23
TCH3213,SCH0036,English,Basic,5,27
TCH3214,SCH0791,English,Advanced,9,29
TCH3215,SCH0959,Math,Basic,18,28
TCH3216,SCH0237,Math,Advanced,13,28
TCH3217,SCH0236,Math,Basic,18,21
TCH3218,SCH0766,English,Advanced,1,10
TCH3219,SCH0610,Math,Basic,11,22
TCH3220,SCH0362,English,Advanced,26,12
TCH3221,SCH0703,Math,Advanced,8,11
TCH3222,SCH0914,English,Advanced,11,24
TCH3223,SCH0593,Social Studies,Advanced,6,10
TCH3224,SCH0483,Science,Basic,11,29
TCH3225,SCH0420,Math,Basic,13,25
TCH3226,SCH0580,Math,Advanced,3,25
TCH3227,SCH0311,English,Basic,13,24
TCH3228,SCH0892,Social Studies,Basic,15,20
TCH3229,SCH0285,Social Studies,Basic,16,22
TCH3230,SCH0586,English,Basic,10,24
TCH3231,SCH0342,Science,Advanced,7,23
TCH3232,SCH0728,Science,Advanced,9,13
TCH3233,SCH0528,English,Advanced,17,21
TCH3234,SCH0603,Science,Basic,8,25
TCH3235,SCH0188,Science,Advanced,7,13
TCH3236,SCH0356,Social Studies,Basic,3,28
TCH3237,SCH0884,Math,Basic,1,20
TCH3238,SCH0466,English,Basic,12,24
TCH3239,SCH0155,Nepali,Basic,9,26
TCH3240,SCH0384,Science,Basic,10,28
TCH3241,SCH0610,Math,Basic,12,24
TCH3242,SCH0141,Science,Advanced,3,14
TCH3243,SCH0084,Math,Advanced,5,13
TCH3244,SCH0403,Social Studies,Advanced,8,13
TCH3245,SCH0304,Science,Advanced,25,12
TCH3246,SCH0474,English,Basic,7,23
TCH3247,SCH0144,Nepali,Basic,14,24
TCH3248,SCH0420,Social Studies,Basic,4,25
TCH3249,SCH0501,Social Studies,Advanced,13,14
TCH3250,SCH0828,Social Studies,Basic,19,28
TCH3251,SCH0457,Social Studies,Basic,11,25
TCH3252,SCH0697,Nepali,Basic,7,21
TCH3253,SCH0716,Science,Basic,9,28
TCH3254,SCH0215,Science,Basic,3,22
TCH3255,SCH0839,English,Advanced,1,25
TCH3256,SCH0134,English,Basic,16,22
TCH3257,SCH0879,Social Studies,Basic,7,25
TCH3258,SCH0614,Science,Advanced,17,13
TCH3259,SCH0562,Science,Advanced,18,13
TCH3260,SCH0576,Social Studies,Advanced,3,13
TCH3261,SCH0101,Science,Advanced,14,10
TCH3262,SCH0609,Nepali,Basic,8,28
TCH3263,SCH0397,Math,Basic,19,25
TCH3264,SCH0750,Nepali,Basic,16,26
TCH3265,SCH0900,Social Studies,Basic,18,26
TCH3266,SCH0377,Science,Basic,10,27
TCH3267,SCH0844,Social Studies,Basic,15,23
TCH3268,SCH0413,Social Studies,Advanced,10,28
TCH3269,SCH0583,English,Advanced,11,20
TCH3270,SCH0581,English,Basic,5,25
TCH3271,SCH0751,English,Advanced,5,24
TCH3272,SCH0617,Nepali,Advanced,15,10
TCH3273,SCH0551,English,Advanced,28,12
TCH3274,SCH0875,Science,Basic,3,24
TCH3275,SCH0332,English,Basic,2,20
TCH3276,SCH0242,English,Basic,13,26
TCH3277,SCH0133,Nepali,Basic,4,29
TCH3278,SCH0195,English,Basic,10,24
TCH3279,SCH0445,Science,Basic,12,24
TCH3280,SCH0582,English,Advanced,19,24
TCH3281,SCH0156,Social Studies,Basic,15,23
TCH3282,SCH0232,Science,Basic,16,21
TCH3283,SCH0758,Math,Basic,16,23
TCH3284,SCH0389,Math,Advanced,14,14
TCH3285,SCH0396,Science,Basic,2,25
TCH3286,SCH0840,English,Advanced,19,28
TCH3287,SCH0534,Science,Basic,19,27
TCH3288,SCH0229,Nepali,Basic,9,27
TCH3289,SCH0363,English,Advanced,21,13
TCH3290,SCH0416,Nepali,Advanced,11,11
TCH3291,SCH0793,Social Studies,Advanced,27,14
TCH3292,SCH0171,Science,Advanced,28,14
TCH3293,SCH0622,English,Basic,3,29
TCH3294,SCH0454,Social Studies,Advanced,18,13
TCH3295,SCH0843,Science,Advanced,4,13
TCH3296,SCH0882,English,Basic,9,20
TCH3297,SCH0202,Social Studies,Basic,14,28
TCH3298,SCH0669,Math,Advanced,19,27
TCH3299,SCH0326,Social Studies,Basic,15,23
TCH3300,SCH0673,English,Advanced,29,11
TCH3301,SCH0792,Nepali,Basic,1,23
TCH3302,SCH0122,English,Advanced,2,23
TCH3303,SCH0098,Math,Advanced,24,10
TCH3304,SCH0444,Science,Advanced,27,13
TCH3305,SCH0576,Social Studies,Advanced,3,11
TCH3306,SCH0294,Nepali,Advanced,1,21
TCH3307,SCH0593,Nepali,Advanced,17,11
TCH3308,SCH0119,Science,Advanced,15,12
TCH3309,SCH0666,Science,Basic,11,25
TCH3310,SCH0295,Science,Advanced,4,21
TCH3311,SCH0473,English,Basic,10,28
TCH3312,SCH0101,Science,Advanced,27,14
TCH3313,SCH0660,Social Studies,Basic,7,27
TCH3314,SCH0143,Nepali,Basic,5,23
TCH3315,SCH0218,Science,Advanced,20,13
TCH3316,SCH0725,English,Basic,3,25
TCH3317,SCH0724,Math,Basic,9,28
TCH3318,SCH0923,Math,Advanced,10,25
TCH3319,SCH0808,Social Studies,Basic,4,23
TCH3320,SCH0049,English,Advanced,8,26
TCH3321,SCH0408,English,Basic,5,28
TCH3322,SCH0960,English,Advanced,1,27
TCH3323,SCH0137,Science,Advanced,15,12
TCH3324,SCH0313,Social Studies,Basic,10,28
TCH3325,SCH0320,English,Advanced,16,14
TCH3326,SCH0436,Social Studies,Basic,13,21
TCH3327,SCH0313,Math,Basic,10,27
TCH3328,SCH0689,Science,Basic,13,21
TCH3329,SCH0151,Science,Basic,2,27
TCH3330,SCH0685,Science,Advanced,8,11
TCH3331,SCH0243,Nepali,Basic,16,29
TCH3332,SCH0687,English,Advanced,18,21
TCH3333,SCH0813,Math,Advanced,18,24
TCH3334,SCH0154,Math,Advanced,12,21
TCH3335,SCH0870,Social Studies,Advanced,3,13
TCH3336,SCH0001,Nepali,Basic,10,29
TCH3337,SCH0917,Nepali,Advanced,23,12
TCH3338,SCH0099,Science,Advanced,10,24
TCH3339,SCH0236,Science,Basic,12,25
TCH3340,SCH0269,Nepali,Advanced,19,20
TCH3341,SCH0483,Social Studies,Basic,13,23
TCH3342,SCH0218,Science,Advanced,23,13
TCH3343,SCH0938,English,Advanced,26,14
TCH3344,SCH0607,Math,Basic,10,22
TCH3345,SCH0547,English,Advanced,25,13
TCH3346,SCH0203,Science,Basic,13,26
TCH3347,SCH0600,Social Studies,Advanced,15,28
TCH3348,SCH0986,Science,Basic,5,23
TCH3349,SCH0921,Nepali,Advanced,28,12
TCH3350,SCH0663,English,Basic,11,26
TCH3351,SCH0853,English,Advanced,23,11
TCH3352,SCH0946,Math,Advanced,13,23
TCH3353,SCH0084,Math,Advanced,11,10
TCH3354,SCH0208,Math,Advanced,19,27
TCH3355,SCH0564,Math,Advanced,8,12
TCH3356,SCH0994,Science,Basic,15,27
TCH3357,SCH0411,Social Studies,Advanced,15,14
TCH3358,SCH0774,Nepali,Advanced,1,11
TCH3359,SCH0021,Math,Basic,18,24
TCH3360,SCH0820,English,Basic,11,28
TCH3361,SCH0527,Nepali,Advanced,12,14
TCH3362,SCH0885,English,Basic,17,27
TCH3363,SCH0239,Nepali,Basic,10,22
TCH3364,SCH0440,English,Advanced,13,26
TCH3365,SCH0896,Math,Basic,15,23
TCH3366,SCH0317,Science,Advanced,8,23
TCH3367,SCH0734,Nepali,Basic,8,29
TCH3368,SCH0259,Nepali,Advanced,16,22
TCH3369,SCH0006,Nepali,Advanced,8,25
TCH3370,SCH0050,Science,Basic,3,28
TCH3371,SCH0919,Science,Basic,7,25
TCH3372,SCH0159,English,Advanced,3,12
TCH3373,SCH0239,Math,Basic,8,23
TCH3374,SCH0901,Social Studies,Advanced,2,12
TCH3375,SCH0178,English,Basic,8,21
TCH3376,SCH0606,Science,Basic,3,22
TCH3377,SCH0959,Math,Basic,19,21
TCH3378,SCH0815,English,Basic,5,22
TCH3379,SCH0242,Science,Basic,19,25
TCH3380,SCH0182,Social Studies,Basic,9,20
TCH3381,SCH0722,Social Studies,Basic,14,26
TCH3382,SCH0742,English,Basic,19,29
TCH3383,SCH0355,English,Basic,4,25
TCH3384,SCH0666,English,Basic,14,26
TCH3385,SCH0017,Science,Basic,5,26
TCH3386,SCH0638,English,Advanced,5,12
TCH3387,SCH0413,Science,Basic,17,27
TCH3388,SCH0261,Math,Basic,5,25
TCH3389,SCH0512,Social Studies,Advanced,12,27
TCH3390,SCH0411,Science,Advanced,30,13
TCH3391,SCH0735,Nepali,Advanced,17,20
TCH3392,SCH0667,Science,Basic,15,27
TCH3393,SCH0098,Nepali,Advanced,20,13
TCH3394,SCH0325,Social Studies,Advanced,21,12
TCH3395,SCH0917,Science,Advanced,24,10
TCH3396,SCH0028,Social Studies,Basic,6,24
TCH3397,SCH0394,Math,Basic,18,28
TCH3398,SCH0834,English,Basic,7,29
TCH3399,SCH0474,Math,Basic,17,27
TCH3400,SCH0628,Nepali,Advanced,22,11
TCH3401,SCH0051,Social Studies,Advanced,5,23
TCH3402,SCH0773,Math,Basic,4,21
TCH3403,SCH0072,Science,Advanced,26,11
TCH3404,SCH0608,Math,Advanced,6,10
TCH3405,SCH0724,Science,Advanced,8,22
TCH3406,SCH0127,Nepali,Advanced,18,12
TCH3407,SCH0657,Social Studies,Basic,19,27
TCH3408,SCH0070,Social Studies,Basic,4,20
TCH3409,SCH0269,English,Basic,12,24
TCH3410,SCH0509,Math,Basic,9,22
TCH3411,SCH0223,Social Studies,Advanced,16,14
TCH3412,SCH0899,Science,Advanced,18,12
TCH3413,SCH0849,Nepali,Basic,7,26
TCH3414,SCH0294,Science,Basic,3,23
TCH3415,SCH0640,Nepali,Advanced,7,22
TCH3416,SCH0824,Nepali,Advanced,17,24
TCH3417,SCH0817,English,Advanced,6,14
TCH3418,SCH0168,English,Advanced,13,26
TCH3419,SCH0693,English,Advanced,3,11
TCH3420,SCH0988,Nepali,Advanced,20,10
TCH3421,SCH0966,English,Advanced,29,13
TCH3422,SCH0325,Nepali,Advanced,28,10
TCH3423,SCH0012,Science,Basic,10,25
TCH3424,SCH0045,Social Studies,Advanced,25,10
TCH3425,SCH0317,Science,Basic,14,20
TCH3426,SCH0050,Math,Basic,17,21
TCH3427,SCH0331,Nepali,Advanced,1,25
TCH3428,SCH0617,Nepali,Advanced,24,12
TCH3429,SCH0925,Math,Basic,18,24
TCH3430,SCH0319,Math,Advanced,18,12
TCH3431,SCH0011,English,Advanced,3,11
TCH3432,SCH0482,Social Studies,Basic,13,26
TCH3433,SCH0264,Science,Advanced,18,21
TCH3434,SCH0139,Science,Basic,9,28
TCH3435,SCH0126,Math,Basic,19,27
TCH3436,SCH0745,Nepali,Advanced,2,24
TCH3437,SCH0159,Science,Advanced,15,11
TCH3438,SCH0157,Science,Basic,15,25
TCH3439,SCH0167,Math,Basic,4,22
TCH3440,SCH0292,Science,Advanced,9,28
